description;label;variable;distribution;lower;median;upper
period_subsidies_recived;time_horizon;n_years;const;15;NA;15
Coefficient of variation, ratio of the standard deviation to the mean (a measure of relative variability).;coeff. Variation;var_CV;posnorm;0.1;NA;2
reduce yield/loss by discount_rate % over time;discount rate;discount_rate;posnorm;1;NA;5
price for wheat;Euro/dt;price_wheat;posnorm;16.50;NA;27.50
wheat yield;dt/ha;yield_wheat;posnorm;50;NA;110
seeding and fertilizer costs;Euro/ha;seeding_fertilizer_costs;posnorm;;NA;
costs for plant protection;Euro/ha;costs_pesticides;posnorm;175;NA;240
costs for machinery;Euro/ha;costs_machinery;posnorm;160;NA;190
cost for insurance;Euro/ha;hail_insurance;posnorm;10;NA;12
basic eu subsidies;Euro/ha;eu_subsidies;const;150;NA;150
